"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
240, 1.246299967169762e-01, -5.065000057220459e-02, 7.530288703685059e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.502834361203274e+00, 0.000000000000000e+00, 6.011337444813093e-01, 1.117602890659411e+00, 0.000000000000000e+00, -3.535999056387657e-01, 4.369414936869528e-08, 4.267356949121771e-03, -5.514911665961517e-04, -8.440217349036659e+03, 7.739739357207884e+00, 0.000000000000000e+00
241, 1.325715077288095e-01, -5.161559687235902e-02, 7.239603842840542e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.445359830748172e+00, 0.000000000000000e+00, 5.781439322992685e-01, 1.118019055724184e+00, 0.000000000000000e+00, -4.254430687076431e-01, 4.370660483330895e-08, 3.388839460528897e-03, -4.123394041260269e-04, -5.189089419601923e+03, 6.785693776391532e+00, 0.000000000000000e+00
362, 1.409099240604542e-01, -5.263087208241095e-02, 7.224681735006617e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.440807884351033e+00, 0.000000000000000e+00, 5.763231537404133e-01, 1.116799943348424e+00, 0.000000000000000e+00, -4.311330017040657e-01, 4.367011142887562e-08, 4.122383622997924e-03, -4.681386766862612e-04, -7.955526093006493e+03, 7.508910539549049e+00, 0.000000000000000e+00
483, 1.496810000302189e-01, -5.355855410711795e-02, 7.118036126878314e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.418809025717688e+00, 0.000000000000000e+00, 5.675236102870751e-01, 1.116225093887456e+00, 0.000000000000000e+00, -4.586315749957476e-01, 4.365289689219174e-08, 3.980297698256752e-03, -3.993944063471404e-04, -7.380280925981195e+03, 7.352165896216094e+00, 0.000000000000000e+00
604, 1.589003293196798e-01, -5.443608058015718e-02, 7.204332640414549e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.435973501436860e+00, 0.000000000000000e+00, 5.743894005747436e-01, 1.116196601325129e+00, 0.000000000000000e+00, -4.371759803467834e-01, 4.365204353646918e-08, 4.081224484679046e-03, -3.628824082359938e-04, -7.836358061987675e+03, 7.518795713219246e+00, 0.000000000000000e+00
725, 1.685910934004601e-01, -5.523994660290474e-02, 7.113682685135944e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.418304436548987e+00, 0.000000000000000e+00, 5.673217746195948e-01, 1.116510982598396e+00, 0.000000000000000e+00, -4.592623114566236e-01, 4.366145870442990e-08, 3.374578728144743e-03, -2.799272748804590e-04, -5.272055901169279e+03, 6.819433491919901e+00, 0.000000000000000e+00
846, 1.787663956935104e-01, -5.608400592747247e-02, 7.211207283260392e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.436372149279715e+00, 0.000000000000000e+00, 5.745488597118857e-01, 1.115442077866554e+00, 0.000000000000000e+00, -4.366776705432143e-01, 4.362944158967375e-08, 4.114528198298477e-03, -3.052658979802845e-04, -8.119671786606994e+03, 7.614729526153088e+00, 0.000000000000000e+00
967, 1.894639828794842e-01, -5.678855218856885e-02, 6.448522807552487e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.283557043510948e+00, 0.000000000000000e+00, 5.134228174043789e-01, 1.114661397373494e+00, 0.000000000000000e+00, -6.276965527541732e-01, 4.360604823273901e-08, 3.318620870370924e-03, -2.157847161548906e-04, -5.013536807768966e+03, 6.495522522327152e+00, 0.000000000000000e+00
1088, 2.006976395305964e-01, -5.751002818526064e-02, 7.040904796799705e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.400792866732349e+00, 0.000000000000000e+00, 5.603171466929395e-01, 1.114123863351579e+00, 0.000000000000000e+00, -4.811517737274212e-01, 4.358993618662621e-08, 4.127391610828720e-03, -2.290241840405582e-04, -8.238010252360835e+03, 7.603044947436415e+00, 0.000000000000000e+00
1209, 2.125041492089352e-01, -5.806702435484382e-02, 6.543444046898449e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.301500591770405e+00, 0.000000000000000e+00, 5.206002367081618e-01, 1.113848190903217e+00, 0.000000000000000e+00, -6.052671174298516e-01, 4.358167170608043e-08, 3.196433575803224e-03, -1.507982720173354e-04, -4.713944890782736e+03, 6.476347866390252e+00, 0.000000000000000e+00
1330, 2.249009843711911e-01, -5.865187033290615e-02, 6.888393586640882e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.368868214107774e+00, 0.000000000000000e+00, 5.475472856431096e-01, 1.112837398529326e+00, 0.000000000000000e+00, -5.210575895081397e-01, 4.355136025379929e-08, 3.843991382385347e-03, -1.533981597335685e-04, -7.177328997866702e+03, 7.319775074692227e+00, 0.000000000000000e+00
1451, 2.379250553948242e-01, -5.908146997653385e-02, 7.168039778842261e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.423912567261072e+00, 0.000000000000000e+00, 5.695650269044287e-01, 1.112425519763215e+00, 0.000000000000000e+00, -4.522521480665176e-01, 4.353900505315001e-08, 3.604739029214660e-03, -1.114839413417632e-04, -6.331401337891999e+03, 7.261784984553750e+00, 0.000000000000000e+00
1572, 2.508878861261739e-01, -5.945556852226934e-02, 7.043703410544186e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.398106532979370e+00, 0.000000000000000e+00, 5.592426131917481e-01, 1.111545465268190e+00, 0.000000000000000e+00, -4.845096909186446e-01, 4.351259841101558e-08, 3.627876169743319e-03, -8.912728002103312e-05, -6.466789267419194e+03, 7.256464662849495e+00, 0.000000000000000e+00
1693, 2.638534488543899e-01, -5.971846172494012e-02, 7.008486157253550e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.389994100977810e+00, 0.000000000000000e+00, 5.559976403911239e-01, 1.110648832118986e+00, 0.000000000000000e+00, -4.946502309205952e-01, 4.348568381110470e-08, 3.505186075049017e-03, -6.187512473131160e-05, -6.049228042393393e+03, 7.146032834250845e+00, 0.000000000000000e+00
1814, 2.768202122796630e-01, -5.991333763379868e-02, 6.882418748571624e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.364332669244474e+00, 0.000000000000000e+00, 5.457330676977895e-01, 1.110113061538825e+00, 0.000000000000000e+00, -5.267270205872651e-01, 4.346959630450451e-08, 3.528622009739022e-03, -3.554052518234524e-05, -6.168355627213131e+03, 7.134764687818371e+00, 0.000000000000000e+00
1935, 2.897882703302538e-01, -5.997967904241379e-02, 6.914500005706687e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.370701994755456e+00, 0.000000000000000e+00, 5.482807979021825e-01, 1.110120929104844e+00, 0.000000000000000e+00, -5.187653636985369e-01, 4.346983257020638e-08, 3.378438244518111e-03, -7.735076825593440e-06, -5.665561256945608e+03, 7.025439410090655e+00, 0.000000000000000e+00
2056, 3.027564961747790e-01, -5.997271984947914e-02, 7.054871024172381e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.399502615077626e+00, 0.000000000000000e+00, 5.598010460310504e-01, 1.110894106721689e+00, 0.000000000000000e+00, -4.827645882958247e-01, 4.349304737204516e-08, 3.414765640002859e-03, 1.678643359429041e-05, -5.887246583869920e+03, 7.160284801884725e+00, 0.000000000000000e+00
2177, 3.157241637117278e-01, -5.985218240051941e-02, 7.206377704370969e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.430076612027161e+00, 0.000000000000000e+00, 5.720306448108644e-01, 1.111297430676532e+00, 0.000000000000000e+00, -4.445470921089060e-01, 4.350515411752455e-08, 2.836577895611620e-03, 2.636664321770793e-05, -4.015998421529310e+03, 6.617515019760513e+00, 0.000000000000000e+00
2298, 3.286918312313991e-01, -5.973164495172027e-02, 7.242829373863835e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.434450778303217e+00, 0.000000000000000e+00, 5.737803113212869e-01, 1.109086510788903e+00, 0.000000000000000e+00, -4.390793842638356e-01, 4.343876161896353e-08, 3.092020762706862e-03, 3.771057797178293e-05, -4.902040828812152e+03, 6.962929293013485e+00, 0.000000000000000e+00
2419, 3.416585813083992e-01, -5.953588378806252e-02, 7.277376952802451e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.437878702821170e+00, 0.000000000000000e+00, 5.751514811284678e-01, 1.106459207489280e+00, 0.000000000000000e+00, -4.347944786163954e-01, 4.335978134604211e-08, 3.179822564160292e-03, 6.138065258038391e-05, -5.234224980495312e+03, 7.118566910233755e+00, 0.000000000000000e+00
2540, 3.546232266749028e-01, -5.923108684115710e-02, 7.299513012596828e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.440686492761912e+00, 0.000000000000000e+00, 5.762745971047647e-01, 1.105257891251644e+00, 0.000000000000000e+00, -4.312847411904676e-01, 4.332363768569719e-08, 2.730716311620964e-03, 6.419874752589478e-05, -3.802294708765320e+03, 6.638073935927260e+00, 0.000000000000000e+00
2661, 3.675878720228760e-01, -5.892628989468731e-02, 7.286260197833762e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.437629500173190e+00, 0.000000000000000e+00, 5.750518000692761e-01, 1.104918707592049e+00, 0.000000000000000e+00, -4.351059819263693e-01, 4.331342929569382e-08, 3.055127022778505e-03, 8.146817190712105e-05, -4.944890779984065e+03, 7.040753059513191e+00, 0.000000000000000e+00
